line,type,weekday,id_crime_category,afluency_distribution,crime_frequency
2,Transbordo,3,13,31509.666666666668,2.0
3,Intermedia,3,5,28084.25,1.0
3,Intermedia,3,6,28084.25,12.0
3,Intermedia,3,13,28084.25,1.0
3,Terminal,3,6,112643.5,1.0
3,Transbordo,3,6,24574.428571428572,5.0
3,Transbordo,3,11,24574.428571428572,1.0
3,Transbordo,3,13,24574.428571428572,2.0
4,Intermedia,3,5,8805.0,2.0
4,Intermedia,3,7,8805.0,1.0
4,Transbordo,3,6,8088.5,1.0
4,Transbordo,3,7,8088.5,2.0
4,Transbordo,3,13,8088.5,1.0
5,Terminal / Transbordo,3,13,91104.0,2.0
5,Transbordo,3,6,9138.5,2.0
6,Intermedia,3,6,14696.42857142857,1.0
6,Terminal / Transbordo,3,6,28458.0,1.0
6,Terminal / Transbordo,3,11,28458.0,1.0
6,Transbordo,3,6,2912.0,2.0
7,Intermedia,3,5,24517.666666666668,4.0
7,Intermedia,3,6,24517.666666666668,4.0
7,Terminal,3,6,55867.0,3.0
7,Terminal / Transbordo,3,6,43186.0,1.0
7,Transbordo,3,5,16616.0,2.0
7,Transbordo,3,6,16616.0,2.0
7,Transbordo,3,13,16616.0,2.0
8,Intermedia,3,5,20717.5,1.0
8,Intermedia,3,6,20717.5,8.0
8,Intermedia,3,7,20717.5,2.0
8,Intermedia,3,13,20717.5,2.0
8,Terminal,3,6,111839.0,1.0
8,Terminal / Transbordo,3,13,15338.0,1.0
8,Transbordo,3,6,15607.8,3.0
8,Transbordo,3,7,15607.8,1.0
8,Transbordo,3,13,15607.8,1.0
9,Intermedia,3,5,23459.571428571428,2.0
9,Intermedia,3,6,23459.571428571428,3.0
9,Terminal / Transbordo,3,5,56812.5,1.0
9,Terminal / Transbordo,3,13,56812.5,2.0
9,Transbordo,3,6,13867.0,3.0
A,Intermedia,3,5,23018.14285714286,1.0
A,Intermedia,3,6,23018.14285714286,6.0
A,Intermedia,3,7,23018.14285714286,1.0
A,Intermedia,3,13,23018.14285714286,1.0
A,Terminal / Transbordo,3,13,44964.0,2.0
B,Terminal,3,5,95798.0,1.0
B,Terminal,3,6,95798.0,2.0
B,Transbordo,3,6,8964.0,2.0
B,Transbordo,3,13,8964.0,3.0
1,Intermedia,4,5,34137.25,1.0
1,Intermedia,4,6,34137.25,14.0
1,Intermedia,4,13,34137.25,1.0
1,Terminal,4,5,94231.0,1.0
1,Terminal,4,6,94231.0,1.0
1,Terminal / Transbordo,4,5,34998.0,1.0
1,Terminal / Transbordo,4,6,34998.0,1.0
1,Terminal / Transbordo,4,13,34998.0,2.0
1,Transbordo,4,5,28357.166666666668,3.0
1,Transbordo,4,6,28357.166666666668,6.0
1,Transbordo,4,7,28357.166666666668,1.0
1,Transbordo,4,13,28357.166666666668,4.0
12,Intermedia,4,5,19635.6,4.0
12,Intermedia,4,6,19635.6,4.0
12,Intermedia,4,7,19635.6,1.0
12,Intermedia,4,11,19635.6,3.0
12,Terminal / Transbordo,4,7,20332.0,1.0
12,Transbordo,4,6,14906.0,1.0
2,Intermedia,4,5,25701.75,3.0
2,Intermedia,4,6,25701.75,16.0
2,Intermedia,4,11,25701.75,2.0
2,Intermedia,4,13,25701.75,1.0
2,Terminal,4,6,94856.5,1.0
2,Terminal,4,13,94856.5,1.0
2,Transbordo,4,5,27587.666666666668,2.0
2,Transbordo,4,6,27587.666666666668,6.0
2,Transbordo,4,13,27587.666666666668,6.0
3,Intermedia,4,6,24687.666666666668,6.0
3,Intermedia,4,13,24687.666666666668,1.0
3,Transbordo,4,5,24228.0,1.0
3,Transbordo,4,6,24228.0,5.0
3,Transbordo,4,13,24228.0,1.0
4,Intermedia,4,6,7415.0,2.0
4,Intermedia,4,11,7415.0,1.0
4,Terminal / Transbordo,4,11,11538.0,1.0
4,Transbordo,4,6,7746.75,5.0
5,Intermedia,4,5,11888.714285714286,1.0
5,Intermedia,4,6,11888.714285714286,1.0
5,Intermedia,4,7,11888.714285714286,1.0
5,Terminal / Transbordo,4,5,89255.0,1.0
5,Terminal / Transbordo,4,13,89255.0,2.0
5,Transbordo,4,6,8069.0,3.0
5,Transbordo,4,11,8069.0,1.0
6,Intermedia,4,5,13468.857142857143,1.0
6,Intermedia,4,6,13468.857142857143,4.0
6,Transbordo,4,11,3012.0,1.0
7,Intermedia,4,5,23331.777777777777,2.0
7,Intermedia,4,6,23331.777777777777,6.0
7,Intermedia,4,13,23331.777777777777,1.0
7,Transbordo,4,5,12699.0,1.0
7,Transbordo,4,6,12699.0,1.0
7,Transbordo,4,7,12699.0,2.0
8,Intermedia,4,5,17744.416666666668,2.0
8,Intermedia,4,6,17744.416666666668,9.0
8,Intermedia,4,11,17744.416666666668,1.0
8,Intermedia,4,13,17744.416666666668,2.0
8,Terminal,4,6,100591.0,1.0
8,Terminal / Transbordo,4,6,13786.0,3.0
8,Transbordo,4,5,13181.2,1.0
8,Transbordo,4,6,13181.2,4.0
8,Transbordo,4,11,13181.2,2.0
8,Transbordo,4,13,13181.2,3.0
9,Intermedia,4,5,21807.428571428572,1.0
9,Intermedia,4,6,21807.428571428572,3.0
9,Terminal / Transbordo,4,5,52909.5,1.0
9,Terminal / Transbordo,4,6,52909.5,1.0
9,Terminal / Transbordo,4,7,52909.5,1.0
9,Terminal / Transbordo,4,13,52909.5,2.0
9,Transbordo,4,6,12805.666666666666,3.0
9,Transbordo,4,13,12805.666666666666,1.0
A,Intermedia,4,6,19827.428571428572,1.0
A,Terminal / Transbordo,4,5,42751.0,1.0
A,Terminal / Transbordo,4,13,42751.0,2.0
B,Intermedia,4,6,13955.857142857143,4.0
B,Intermedia,4,7,13955.857142857143,1.0
B,Terminal,4,6,64808.0,2.0
B,Terminal,4,13,64808.0,1.0
B,Transbordo,4,6,8637.2,5.0
B,Transbordo,4,13,8637.2,1.0
1,Intermedia,5,5,24905.75,2.0
1,Intermedia,5,6,24905.75,8.0
1,Intermedia,5,7,24905.75,1.0
1,Intermedia,5,11,24905.75,1.0
1,Terminal / Transbordo,5,5,22458.0,1.0
1,Terminal / Transbordo,5,13,22458.0,1.0
1,Transbordo,5,5,20762.666666666668,2.0
1,Transbordo,5,6,20762.666666666668,3.0
1,Transbordo,5,11,20762.666666666668,1.0
1,Transbordo,5,13,20762.666666666668,1.0
12,Intermedia,5,6,10975.466666666667,14.0
12,Terminal / Transbordo,5,6,7801.0,2.0
12,Transbordo,5,6,8109.666666666667,1.0
2,Intermedia,5,5,14919.9375,2.0
2,Intermedia,5,6,14919.9375,14.0
2,Intermedia,5,7,14919.9375,5.0
2,Intermedia,5,11,14919.9375,4.0
2,Terminal,5,6,53870.0,1.0
2,Transbordo,5,5,20702.166666666668,3.0
2,Transbordo,5,6,20702.166666666668,5.0
2,Transbordo,5,7,20702.166666666668,1.0
2,Transbordo,5,11,20702.166666666668,2.0
2,Transbordo,5,13,20702.166666666668,3.0
3,Intermedia,5,5,16317.583333333334,1.0
3,Intermedia,5,6,16317.583333333334,7.0
3,Intermedia,5,7,16317.583333333334,2.0
3,Intermedia,5,11,16317.583333333334,2.0
3,Intermedia,5,13,16317.583333333334,1.0
3,Terminal,5,5,57345.5,1.0
3,Terminal,5,6,57345.5,1.0
3,Transbordo,5,5,14543.57142857143,4.0
3,Transbordo,5,6,14543.57142857143,6.0
3,Transbordo,5,11,14543.57142857143,1.0
3,Transbordo,5,13,14543.57142857143,1.0
4,Intermedia,5,5,5711.0,1.0
4,Intermedia,5,7,5711.0,2.0
4,Intermedia,5,11,5711.0,1.0
4,Terminal / Transbordo,5,6,7631.0,1.0
4,Transbordo,5,5,5135.5,1.0
4,Transbordo,5,6,5135.5,1.0
5,Intermedia,5,6,7001.285714285715,1.0
5,Terminal / Transbordo,5,5,56295.0,1.0
5,Terminal / Transbordo,5,13,56295.0,1.0
5,Transbordo,5,5,5439.25,1.0
5,Transbordo,5,6,5439.25,1.0
6,Intermedia,5,5,8212.857142857143,2.0
6,Intermedia,5,6,8212.857142857143,2.0
6,Terminal / Transbordo,5,6,14137.5,1.0
6,Transbordo,5,5,1744.5,1.0
7,Intermedia,5,5,13767.333333333334,1.0
7,Intermedia,5,6,13767.333333333334,6.0
7,Terminal,5,6,22718.0,1.0
7,Terminal,5,11,22718.0,1.0
7,Terminal / Transbordo,5,6,18389.0,1.0
7,Transbordo,5,5,8204.0,1.0
7,Transbordo,5,6,8204.0,3.0
8,Intermedia,5,5,11905.666666666666,2.0
8,Intermedia,5,6,11905.666666666666,5.0
8,Intermedia,5,7,11905.666666666666,2.0
8,Terminal / Transbordo,5,6,12946.0,1.0
8,Transbordo,5,5,9362.8,1.0
8,Transbordo,5,6,9362.8,5.0
8,Transbordo,5,11,9362.8,1.0
8,Transbordo,5,13,9362.8,1.0
9,Intermedia,5,5,13898.857142857143,1.0
9,Intermedia,5,6,13898.857142857143,7.0
9,Intermedia,5,7,13898.857142857143,2.0
9,Intermedia,5,11,13898.857142857143,1.0
9,Terminal / Transbordo,5,5,30697.5,1.0
9,Terminal / Transbordo,5,6,30697.5,1.0
9,Terminal / Transbordo,5,13,30697.5,1.0
9,Transbordo,5,6,10540.0,1.0
9,Transbordo,5,13,10540.0,1.0
A,Intermedia,5,5,12641.42857142857,2.0
A,Intermedia,5,6,12641.42857142857,1.0
A,Terminal / Transbordo,5,13,15199.0,1.0
B,Intermedia,5,6,12411.857142857143,4.0
B,Intermedia,5,7,12411.857142857143,1.0
B,Terminal,5,6,38201.0,5.0
